Zip3,State,DAT_Market,Market_City,Distance
510,IA,SD_SXF,SIOUX FALLS,73
511,IA,SD_SXF,SIOUX FALLS,69
512,IA,SD_SXF,SIOUX FALLS,36
513,IA,SD_SXF,SIOUX FALLS,81
514,IA,NE_OMA,OMAHA,74
515,IA,NE_OMA,OMAHA,24
516,IA,NE_OMA,OMAHA,47
520,IA,IA_DUB,DUBUQUE,15
521,IA,IA_DUB,DUBUQUE,67
522,IA,IA_CED,CEDAR RAPIDS,8
523,IA,IA_CED,CEDAR RAPIDS,6
524,IA,IA_CED,CEDAR RAPIDS,1
525,IA,IA_DES,DES MOINES,75
526,IA,IL_ROC,ROCK ISLAND,61
527,IA,IL_ROC,ROCK ISLAND,16
528,IA,IL_ROC,ROCK ISLAND,5
530,WI,WI_MIL,MILWAUKEE,33
531,WI,WI_MIL,MILWAUKEE,26
532,WI,WI_MIL,MILWAUKEE,4
534,WI,WI_MIL,MILWAUKEE,22
535,WI,WI_MAD,MADISON,15
537,WI,WI_MAD,MADISON,3
538,WI,IA_DUB,DUBUQUE,21
539,WI,WI_MAD,MADISON,37
540,WI,MN_MIN,MINNEAPOLIS,38
541,WI,WI_GRE,GREEN BAY,30
542,WI,WI_GRE,GREEN BAY,13
543,WI,WI_GRE,GREEN BAY,11
544,WI,WI_EAU,EAU CLAIRE,85
545,WI,WI_EAU,EAU CLAIRE,112
546,WI,WI_EAU,EAU CLAIRE,68
547,WI,WI_EAU,EAU CLAIRE,7
548,WI,MN_DUL,DULUTH,53
549,WI,WI_GRE,GREEN BAY,57
550,MN,MN_MIN,MINNEAPOLIS,11
551,MN,MN_MIN,MINNEAPOLIS,10
553,MN,MN_MIN,MINNEAPOLIS,31
554,MN,MN_MIN,MINNEAPOLIS,5
556,MN,MN_DUL,DULUTH,73
557,MN,MN_DUL,DULUTH,45
558,MN,MN_DUL,DULUTH,6
559,MN,WI_EAU,EAU CLAIRE,71
560,MN,MN_MIN,MINNEAPOLIS,81
561,MN,SD_SXF,SIOUX FALLS,59
562,MN,MN_STC,ST CLOUD,85
563,MN,MN_STC,ST CLOUD,34
564,MN,MN_STC,ST CLOUD,75
